=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.04 13:27:43 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
,1,3,129,,44,21
121111,1,3,214,131,37,22
121291,1,3,196,127,30,12
121471,0,-1,-1,-1,-1,-1
121651,0,-1,-1,-1,-1,-1
121831,0,-1,-1,-1,-1,-1
122011,1,3,94,136,41,14
122191,1,3,90,133,41,16
122371,1,3,92,134,41,15
122551,0,-1,-1,-1,-1,-1
122731,0,-1,-1,-1,-1,-1
122912,0,-1,-1,-1,-1,-1
123092,1,3,156,129,37,12
123272,1,3,175,130,35,12
123452,1,3,194,135,37,20
123632,1,3,203,134,39,21
123812,1,3,213,135,35,20
123992,1,3,222,133,37,21
124172,1,3,210,130,33,19
124352,1,3,184,126,33,11
124532,0,-1,-1,-1,-1,-1
124712,0,-1,-1,-1,-1,-1
124893,0,-1,-1,-1,-1,-1
125073,0,-1,-1,-1,-1,-1
125253,0,-1,-1,-1,-1,-1
125433,1,3,88,138,41,17
125613,1,3,87,135,43,20
125793,0,-1,-1,-1,-1,-1
125973,0,-1,-1,-1,-1,-1
126153,0,-1,-1,-1,-1,-1
126333,0,-1,-1,-1,-1,-1
126513,0,-1,-1,-1,-1,-1
126693,1,3,164,122,41,20
126874,1,3,164,119,41,19
127054,0,-1,-1,-1,-1,-1
127234,0,-1,-1,-1,-1,-1
127414,1,3,115,117,63,36
127594,1,3,112,120,69,33
127774,1,3,115,120,79,43
127954,1,3,140,104,38,36
128134,1,3,98,109,109,59
128314,1,3,83,101,131,76
128494,1,3,82,98,133,82
128675,1,3,99,114,99,62
128855,1,3,117,128,72,48
129035,1,3,129,139,59,40
129215,1,3,140,142,49,34
129395,1,3,144,143,45,29
129575,0,-1,-1,-1,-1,-1
129755,0,-1,-1,-1,-1,-1
129935,0,-1,-1,-1,-1,-1
130115,1,3,128,114,33,32
130295,1,3,93,114,99,52
130475,1,3,90,108,117,69
130656,1,3,92,105,114,70
130836,1,3,85,108,119,70
131016,1,3,103,113,92,55
131196,1,3,117,120,71,42
131376,0,-1,-1,-1,-1,-1
131556,0,-1,-1,-1,-1,-1
131736,0,-1,-1,-1,-1,-1
131916,1,3,151,111,19,27
132096,1,3,116,103,89,51
132276,1,3,110,100,105,63
132456,1,3,104,94,121,74
132637,1,3,101,81,127,79
132817,1,3,100,78,133,81
132997,1,3,105,83,115,73
133177,1,3,151,103,32,35
133357,0,-1,-1,-1,-1,-1
133537,0,-1,-1,-1,-1,-1
133717,0,-1,-1,-1,-1,-1
133897,0,-1,-1,-1,-1,-1
134077,0,-1,-1,-1,-1,-1
134257,1,3,126,76,105,62
134437,1,3,108,71,137,87
134618,1,3,108,81,125,80
134798,1,3,128,103,74,31
134978,1,3,140,119,53,16
135158,0,-1,-1,-1,-1,-1
135338,0,-1,-1,-1,-1,-1
135518,0,-1,-1,-1,-1,-1
135698,1,3,125,124,67,33
135878,1,3,108,96,101,54
136058,1,3,83,69,159,101
136239,1,3,81,59,163,119
136418,1,3,105,77,116,83
136598,1,3,126,100,77,50
136778,1,3,143,113,55,20
136959,0,-1,-1,-1,-1,-1
137139,0,-1,-1,-1,-1,-1
137319,0,-1,-1,-1,-1,-1
137499,1,3,142,88,89,43
137679,1,3,123,72,135,87
137859,1,3,108,65,161,110
138039,1,3,118,73,121,85
138219,1,3,162,96,21,30
138399,0,-1,-1,-1,-1,-1
138579,0,-1,-1,-1,-1,-1
138759,0,-1,-1,-1,-1,-1
138940,0,-1,-1,-1,-1,-1
139120,1,3,156,122,22,22
139300,1,3,155,109,16,20
139480,1,3,99,89,115,75
139660,1,3,76,99,153,116
139840,1,3,78,78,157,130
140020,1,3,85,85,143,105
140200,1,3,116,115,77,44
140380,1,3,141,128,55,20
140560,0,-1,-1,-1,-1,-1
140740,0,-1,-1,-1,-1,-1
140921,0,-1,-1,-1,-1,-1
141101,1,3,151,121,29,27
141281,1,3,136,112,69,43
141461,1,3,131,97,111,59
141641,1,3,144,80,130,74
141821,1,3,129,74,167,124
142001,1,3,111,76,151,106
142181,1,3,110,102,92,49
142361,1,3,116,118,61,16
142541,1,3,122,134,49,14
142721,1,3,119,130,35,20
142902,1,3,113,127,23,12
143082,0,-1,-1,-1,-1,-1
143262,0,-1,-1,-1,-1,-1
143442,0,-1,-1,-1,-1,-1
143622,1,3,134,111,18,35
143802,1,3,72,106,145,86
143982,1,3,73,86,147,112
144162,1,3,70,82,141,109
144342,1,3,80,91,117,71
144522,1,3,99,105,87,49
144702,1,3,96,106,89,46
144883,1,3,85,94,107,42
145063,1,3,75,69,139,67
145243,1,3,69,54,139,93
145423,1,3,67,51,135,64
145603,1,3,68,61,137,95
145783,1,3,68,78,137,83
145963,1,3,75,83,127,74
146143,1,3,95,97,99,58
146323,1,3,107,106,75,40
146503,1,3,120,111,61,33
146683,1,3,127,121,55,25
146864,1,3,130,125,49,17
147044,1,3,132,128,46,19
147224,0,-1,-1,-1,-1,-1
147404,1,3,122,116,61,22
147584,1,3,117,103,79,43
147764,1,3,108,98,101,58
147944,1,3,103,77,136,65
148124,1,3,135,40,84,81
148304,1,3,91,58,183,117
148484,1,3,86,61,172,109
148665,1,3,105,89,115,60
148845,1,3,124,106,73,31
149025,1,3,132,115,57,23
149205,0,-1,-1,-1,-1,-1
149385,0,-1,-1,-1,-1,-1
149565,0,-1,-1,-1,-1,-1
149745,0,-1,-1,-1,-1,-1
149925,0,-1,-1,-1,-1,-1
150105,1,3,178,128,29,20
150285,1,3,192,132,37,22
150465,1,3,186,129,33,16
150645,0,-1,-1,-1,-1,-1
150825,0,-1,-1,-1,-1,-1
151006,0,-1,-1,-1,-1,-1
151186,0,-1,-1,-1,-1,-1
151366,0,-1,-1,-1,-1,-1
151546,0,-1,-1,-1,-1,-1
151726,1,3,77,113,23,11
151906,1,3,63,114,26,12
152086,1,3,46,117,45,25
152266,1,3,37,116,51,25
152446,1,3,39,118,50,27
152626,1,3,65,113,19,12
152806,0,-1,-1,-1,-1,-1
152987,0,-1,-1,-1,-1,-1
153167,0,-1,-1,-1,-1,-1
153347,0,-1,-1,-1,-1,-1
153527,1,3,173,116,39,19
153707,1,3,175,116,39,21
153887,1,3,162,111,20,11
154067,0,-1,-1,-1,-1,-1
154247,0,-1,-1,-1,-1,-1
154427,0,-1,-1,-1,-1,-1
154607,0,-1,-1,-1,-1,-1
154787,1,3,76,115,25,12
154968,1,3,76,114,25,11
155148,0,-1,-1,-1,-1,-1
155328,0,-1,-1,-1,-1,-1
155508,0,-1,-1,-1,-1,-1
155688,1,3,115,92,43,16
155868,1,3,122,88,41,15
156048,1,3,122,74,41,17
156228,1,3,123,63,39,21
156408,1,3,122,72,37,14
156588,0,-1,-1,-1,-1,-1
156768,0,-1,-1,-1,-1,-1
156949,0,-1,-1,-1,-1,-1
157129,0,-1,-1,-1,-1,-1
157309,0,-1,-1,-1,-1,-1
157489,0,-1,-1,-1,-1,-1
157669,0,-1,-1,-1,-1,-1
157849,0,-1,-1,-1,-1,-1
158029,0,-1,-1,-1,-1,-1
158209,0,-1,-1,-1,-1,-1
158389,0,-1,-1,-1,-1,-1
158569,0,-1,-1,-1,-1,-1
158749,0,-1,-1,-1,-1,-1
158930,0,-1,-1,-1,-1,-1
159110,0,-1,-1,-1,-1,-1
159290,0,-1,-1,-1,-1,-1
1
